run;srun;rt;as;RT;E;d90;Fe;etaCa;tauCa
1;9;55;70,0000;55;3,22612;16,21;22,91;1,63;5,73
2;13;55;70,0000;55;3,40866;15,71;24,24;1,63;6,87
3;2;70;50,0000;70;3,10448;19,18;23,93;1,68;8,42
4;12;55;70,0000;55;3,28270;17,83;24,31;1,63;8,76
5;7;55;41,7157;55;1,87252;16,79;22,45;1,77;6,69
6;5;33,7;70,0000;33,7;1,88307;25,49;25,46;1,79;5,78
7;10;55;70,0000;55;3,07518;20,07;24,85;1,58;8,07
8;8;55;98,2843;55;3,11056;23,00;27,60;1,53;7,78
9;6;76,2;70,0000;76,2;4,19620;17,48;25,34;1,57;9,26
10;1;40;50,0000;40;1,53771;20,60;24,04;1,83;4,70
11;3;40;90,0000;40;2,16939;28,46;28,74;1,68;6,22
12;11;55;70,0000;55;3,03377;14,50;24,62;1,71;7,04
13;4;70;90,0000;70;3,78433;16,94;26,53;1,65;8,20
